Ticker,Overlay,ActionType,WeightBefore,WeightAfter,WeightReleased,WeightRedistributedToEligible,WeightFreedToSGOV,Reason,Date,StartWindow,AboveSMA126,Mom63,Mom126
BKLN,StalePosition,SoftTargetTrim,0.03382348259402676,0.01691174129701338,0.01691174129701338,0.01691174129701338,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
BLOK,StalePosition,SoftTargetTrim,0.09188261780859855,0.045941308904299274,0.045941308904299274,0.045941308904299274,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
EPOL,StalePosition,SoftTargetTrim,0.10145561340936055,0.05072780670468027,0.05072780670468027,0.05072780670468027,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
JMOM,StalePosition,SoftTargetTrim,0.08816862888123672,0.04408431444061836,0.04408431444061836,0.04408431444061836,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
KIE,StalePosition,SoftTargetTrim,0.047518468413927706,0.023759234206963853,0.023759234206963853,0.023759234206963853,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
MLPA,StalePosition,SoftTargetTrim,0.04226640062424437,0.021133200312122184,0.021133200312122184,0.021133200312122184,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
SMH,StalePosition,SoftTargetTrim,0.07155267108477735,0.035776335542388675,0.035776335542388675,0.035776335542388675,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
SMIN,StalePosition,SoftTargetTrim,0.07637482018127668,0.03818741009063834,0.03818741009063834,0.03818741009063834,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
URA,StalePosition,SoftTargetTrim,0.06744686753381857,0.03372343376690928,0.03372343376690928,0.03372343376690928,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
XHB,StalePosition,SoftTargetTrim,0.05726566675588251,0.028632833377941255,0.028632833377941255,0.028632833377941255,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
XLC,StalePosition,SoftTargetTrim,0.07486235832623488,0.03743117916311744,0.03743117916311744,0.03743117916311744,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
XLF,StalePosition,SoftTargetTrim,0.047518468413927706,0.023759234206963853,0.023759234206963853,0.023759234206963853,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-02,2022-01-01,,,
BLOK,StalePosition,SoftTargetTrim,0.08628005682382676,0.04314002841191338,0.04314002841191338,0.04314002841191338,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-31,2022-01-01,,,
EPOL,StalePosition,SoftTargetTrim,0.09526933710454916,0.04763466855227458,0.04763466855227458,0.04763466855227458,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-31,2022-01-01,,,
GLDM,StalePosition,SoftTargetTrim,0.06631858469627779,0.03315929234813889,0.03315929234813889,0.03315929234813889,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-31,2022-01-01,,,
INDA,StalePosition,SoftTargetTrim,0.0590353934558899,0.02951769672794495,0.02951769672794495,0.02951769672794495,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-31,2022-01-01,,,
KIE,StalePosition,SoftTargetTrim,0.044621020305227126,0.022310510152613563,0.022310510152613563,0.022310510152613563,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-31,2022-01-01,,,
MLPA,StalePosition,SoftTargetTrim,0.03968919839871129,0.019844599199355644,0.019844599199355644,0.019844599199355644,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-31,2022-01-01,,,
SMIN,StalePosition,SoftTargetTrim,0.07171785025625851,0.03585892512812926,0.03585892512812926,0.03585892512812926,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-31,2022-01-01,,,
URA,StalePosition,SoftTargetTrim,0.06333428130584236,0.03166714065292118,0.03166714065292118,0.03166714065292118,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-31,2022-01-01,,,
XHB,StalePosition,SoftTargetTrim,0.05377388128018151,0.026886940640090756,0.026886940640090756,0.026886940640090756,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-31,2022-01-01,,,
XLF,StalePosition,SoftTargetTrim,0.044621020305227126,0.022310510152613563,0.022310510152613563,0.022310510152613563,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-05-31,2022-01-01,,,
DVYE,StalePosition,SoftTargetTrim,0.045730759393874214,0.022865379696937107,0.022865379696937107,0.022865379696937107,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-07-02,2022-01-01,,,
EPOL,StalePosition,SoftTargetTrim,0.08279304037106164,0.04139652018553082,0.04139652018553082,0.04139652018553082,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-07-02,2022-01-01,,,
EWU,StalePosition,SoftTargetTrim,0.04814672395120122,0.02407336197560061,0.02407336197560061,0.02407336197560061,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-07-02,2022-01-01,,,
GLDM,StalePosition,SoftTargetTrim,0.05763362511995911,0.028816812559979556,0.028816812559979556,0.028816812559979556,0.0,Ineligible but long-term trend not hard-broken: target a 50% reduction before turnover control,2024-07-02,2022-01-01,,,
