Date,Strategy,SPY,QQQ,VTI
2022-12-02,-0.02228095209131875,-0.13834479887393258,-0.27133381165283366,-0.1508570344997764
2022-12-05,-0.03562173716844175,-0.1538454801255672,-0.2835634585050062,-0.16754935479191457
2022-12-06,-0.04159364942781307,-0.1660425594204331,-0.29840846805895616,-0.18003739782041805
2022-12-07,-0.0457260589283649,-0.16746134708311122,-0.3012726315409727,-0.1813692585794443
2022-12-08,-0.04583349722540253,-0.16093921475598982,-0.2930034266087461,-0.1742928324546592
2022-12-09,-0.05262848330116843,-0.16720721863302723,-0.2975116967466813,-0.1812028512592886
2022-12-12,-0.04193284680197318,-0.15520065080782097,-0.28869435259549014,-0.16942259135607918
2022-12-13,-0.03464701560933492,-0.14880561665290304,-0.2810477716158122,-0.1632201549441501
2022-12-14,-0.03794960189456709,-0.1542478218822324,-0.28637817283195044,-0.1678822363430903
2022-12-15,-0.043750765581245576,-0.17493624044149858,-0.3103390874733788,-0.18861235966784307
2022-12-16,-0.04767354473301477,-0.1846770389276181,-0.316914425593639,-0.1978952384622913
2022-12-19,-0.04851028488872511,-0.19159078570840882,-0.3265143259489266,-0.2059707107057911
2022-12-20,-0.04347853095489418,-0.1904846514020322,-0.32703875134352467,-0.20430576766299557
2022-12-21,-0.03508674064437223,-0.17838031575205404,-0.317276508479131,-0.19227559568066221
2022-12-22,-0.04257837913418694,-0.19010165952735314,-0.33397951560976136,-0.2037320739102757
2022-12-23,-0.03432480508650626,-0.18544288688833066,-0.33248142391174573,-0.19934031240414973
2022-12-27,-0.03481591714606658,-0.18865510308666678,-0.34191913725841483,-0.20268632400809938
2022-12-28,-0.044739382195967625,-0.19873836053677885,-0.3506074937551009,-0.21272489410686524
2022-12-29,-0.03653147325161388,-0.1843153658702853,-0.334778321614817,-0.19825267630075993
2022-12-30,-0.037721324509615406,-0.18646388171396866,-0.33517819111880776,-0.2003022899038993
2023-01-03,-0.04190784019072169,-0.18988908240279723,-0.3396719219611476,-0.2035646629271517
2023-01-04,-0.038799242495654584,-0.1836347252846342,-0.3365262248462415,-0.1964958646409264
2023-01-05,-0.040874322746302094,-0.19295227056267905,-0.3469124134173288,-0.20590701156273228
2023-01-06,-0.026128154191742303,-0.17444495712202024,-0.32888640813777636,-0.18838138336338928
2023-01-09,-0.027884439287083507,-0.17491281690014704,-0.32454172451284846,-0.1880467621297348
2023-01-10,-0.02606466543870789,-0.16912665903172452,-0.3188245935839259,-0.18164734013254713
2023-01-11,-0.024715429909471953,-0.15861797575520975,-0.30703991137716247,-0.17085575516404605
2023-01-12,-0.016687424671140927,-0.15555451601803683,-0.30329514863358653,-0.16684036727105844
2023-01-13,-0.014718313401978489,-0.15227868283927626,-0.29850137960032685,-0.1632849915719068
2023-01-17,-0.01171284317934218,-0.15383149389507922,-0.2970782391373583,-0.16441431314391608
2023-01-18,-0.018324915512440643,-0.16719085610124274,-0.3062163030443267,-0.17758999912748163
2023-01-19,-0.017674842647464883,-0.17325361544058204,-0.31303220041898083,-0.18428228997883955
2023-01-20,-0.010870460199175369,-0.1578520599001746,-0.29423203596166514,-0.16863893131037644
2023-01-23,-0.009662172837348715,-0.14774755152703922,-0.2785528440417192,-0.15809832899483212
2023-01-24,-0.008656035206553114,-0.14866229173756051,-0.2800256669104917,-0.1594787001306628
2023-01-25,-0.007269219077828848,-0.14834312052627419,-0.2816235121713344,-0.15906050722717546
2023-01-26,-0.0035391730851511705,-0.1389830055078598,-0.2676172722477661,-0.15040224135337588
2023-01-27,-0.007010588155894393,-0.13700476862565392,-0.2603266318843179,-0.14697225661440583
2023-01-30,-0.013441170379031475,-0.14783262311345502,-0.27528212453474277,-0.15839119784900235
2023-01-31,-0.00936364325140071,-0.13530292953139667,-0.26442150397583675,-0.1449228437438601
2023-02-01,-0.01200233406277107,-0.12611309347445998,-0.24869208539838017,-0.1345076323884976
2023-02-02,-0.016111062011284427,-0.11339180211357813,-0.22172767883800126,-0.12158319670134698
2023-02-03,-0.019353566657611787,-0.12281573779538513,-0.2355593694641831,-0.13065972238949852
2023-02-06,-0.02472062154423671,-0.12817660562605016,-0.24202601274357638,-0.13718473607946147
2023-02-07,-0.021748932800476406,-0.11677429727339184,-0.22632178524511903,-0.12630964635199204
2023-02-08,-0.026909280861544982,-0.12643206100277815,-0.24007860238649747,-0.13563715469310045
2023-02-09,-0.029646935286568588,-0.13400533323484198,-0.24679474619832442,-0.14404437100307865
2023-02-10,-0.025056643804057033,-0.13198432292929851,-0.25173818445094687,-0.14249685652758226
2023-02-13,-0.02072147968174254,-0.12179467507542463,-0.23975383961804142,-0.1322908085348279
2023-02-14,-0.016688850677224032,-0.12219884997880415,-0.23413638450170227,-0.1319563880337672
2023-02-15,-0.013962054813404734,-0.1193481710491554,-0.22826911785195414,-0.12806639110096119
2023-02-16,-0.015325476086988754,-0.1314738934108025,-0.24275017851456038,-0.1396943618764367
2023-02-17,-0.021517947244197644,-0.1336434564945409,-0.24809278651897904,-0.1422039207625475
2023-02-21,-0.030060176229398716,-0.1510234526001225,-0.26589448234509716,-0.15998066543657652
2023-02-22,-0.03162863417556028,-0.15219347546421458,-0.26534517687247516,-0.1606915264616402
2023-02-23,-0.029097014645871555,-0.14768352718067812,-0.25892868250034884,-0.15621619328568126
2023-02-24,-0.03451045889806825,-0.15678842743984422,-0.27133707716307465,-0.16562727329662263
2023-02-27,-0.02965423077316598,-0.15391656548149502,-0.2661189472990193,-0.1626575014840822
2023-02-28,-0.03191879341556003,-0.15704364219909228,-0.26706788902490064,-0.16545992922436314
2023-03-01,-0.023145694451462084,-0.16027724510909735,-0.2729601135029166,-0.16345233564416606
2023-03-02,-0.02479832269888871,-0.15374642230866298,-0.2669431776338056,-0.16215560308903287
2023-03-03,-0.013829905115220975,-0.1401743471892979,-0.25178817785772634,-0.14851983800076674
2023-03-06,-0.013887347146633422,-0.13957864240141737,-0.250939067444916,-0.14964922648364043
2023-03-07,-0.024723097552257545,-0.15276786143474874,-0.26012712475866373,-0.16232301407215688
2023-03-08,-0.023181218257086966,-0.15138519355177804,-0.25643212217113565,-0.1612353779687674
2023-03-09,-0.03485352123801788,-0.1670417601684654,-0.26931502657192385,-0.17779909557922513
2023-03-10,-0.04512208677833596,-0.17906102423202752,-0.2795761927509409,-0.1916440240300995
2023-03-13,-0.058382576948848075,-0.18023111499044242,-0.27423350699627835,-0.19499010254491378
2023-03-14,-0.05222279115135353,-0.16668022289977802,-0.25755553544415954,-0.18064334260985482
2023-03-15,-0.07500912740540178,-0.17189213058631148,-0.25366055922951414,-0.18695925984807404
2023-03-16,-0.06550780634413611,-0.15736288130470133,-0.2339865597818519,-0.17290516803459155
2023-03-17,-0.07907009551277455,-0.1672155696347264,-0.2376066888845768,-0.1835712951320464
2023-03-20,-0.07210564455626367,-0.15920777373701,-0.23490121365020644,-0.17646061064460772
2023-03-21,-0.05848303563780388,-0.14816761370194387,-0.22397372788161118,-0.16470731581981524
2023-03-22,-0.06492026617273539,-0.1626883761932093,-0.23452614647399583,-0.17963954581975639
2023-03-23,-0.06761320116726333,-0.16042484736677365,-0.22544911650842991,-0.1781444894620734
2023-03-24,-0.06739134811871206,-0.15491563044088186,-0.22259824831810737,-0.17297903762906375
2023-03-27,-0.05983919212974609,-0.15333539007868469,-0.22792460652156676,-0.17087924087750594
2023-03-28,-0.054590291174896555,-0.15523582006700953,-0.2320255431321041,-0.17205513241124748
2023-03-29,-0.04626362625279401,-0.14295733547915668,-0.21802233546804473,-0.16012840462552058
2023-03-30,-0.044846747404284626,-0.13793919818977496,-0.21062066775641486,-0.1555927847605949
2023-03-31,-0.042550882317505145,-0.1257885586116757,-0.19749269458709107,-0.1428680780041499
2023-04-03,-0.040939612608600684,-0.1224575952428355,-0.19944313720367912,-0.14060026807168702
2023-04-04,-0.04316742654265271,-0.127326093444858,-0.2021436364224447,-0.14635373258243212
2023-04-05,-0.05055791453370473,-0.12961107687728535,-0.2100205136243316,-0.14946140768682648
2023-04-06,-0.04972181925866348,-0.12621588547911589,-0.20469431092136003,-0.14664787274302882
2023-04-10,-0.04528713609280843,-0.1253190014754798,-0.20514440708286164,-0.14471588843978245
2023-04-11,-0.04135367879840901,-0.1250840192244137,-0.21024567833044827,-0.1438340032449087
2023-04-12,-0.03922707001355985,-0.12865010063296567,-0.21722212995860057,-0.14744558407028896
2023-04-13,-0.03405717433166011,-0.11707642700966558,-0.20189351388806054,-0.13635878836735826
2023-04-14,-0.03691143242326156,-0.11923302227775723,-0.2033940158436347,-0.1387524576360546
2023-04-17,-0.035487798477468524,-0.11607267734200821,-0.20271891047650437,-0.13530902381330856
2023-04-18,-0.034243282740178516,-0.11549618664746841,-0.2026688393194811,-0.1348890243164781
