Date,StartWindow,SoftStaleActions,CorrelationActions,HardExitActions,SoftStaleTargetWeightReleased,CorrelationTargetWeightReleased,HardExitWeightToSGOV,TurnoverAfterNormalCap,TurnoverAfterHardExit,ExtraTurnoverFromHardExit
2024-07-02,2021-01-01,7,0,2,0.2134703759423623,0,0.05763966511351755,0.2,0.2434059146060887,0.0434059146060887
2024-08-02,2021-01-01,7,0,5,0.18972435842143812,0,0.2652806774019078,0.2,0.44225514419552814,0.24225514419552813
2024-08-30,2021-01-01,7,0,0,0.1624559401736475,0,0.0,0.2,0.2,0.0
2024-10-02,2021-01-01,10,0,0,0.2496152479943907,0,0.0,0.2,0.2,0.0
2024-11-01,2021-01-01,12,0,0,0.3558299877120242,0,0.0,0.2,0.2,0.0
2024-12-02,2021-01-01,11,0,1,0.3166793510581283,0,0.054818213618886814,0.2,0.21580422385253134,0.01580422385253133
2025-01-02,2021-01-01,7,0,6,0.23252514606157598,0,0.17658290517747538,0.19999999999999996,0.37658290517747534,0.17658290517747538
2025-01-31,2021-01-01,9,0,0,0.2038866799890507,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2025-02-28,2021-01-01,6,0,0,0.14162660140792582,0,0.0,0.2,0.2,0.0
2025-04-02,2021-01-01,5,0,5,0.139315735584479,0,0.13920674661093027,0.2,0.3392067466109303,0.1392067466109303
2025-05-02,2021-01-01,5,0,1,0.11324077272107097,0,0.02396140653302848,0.19999999999999998,0.2,2.7755575615628914e-17
2025-06-02,2021-01-01,10,0,0,0.19160437159077362,0,0.0,0.2,0.2,0.0
2025-07-02,2021-01-01,10,0,0,0.21331109233995413,0,0.0,0.2,0.2,0.0
2025-08-01,2021-01-01,9,0,0,0.17980704668591707,0,0.0,0.2,0.2,0.0
2025-09-02,2021-01-01,11,0,0,0.3020044460635253,0,0.0,0.19999999999999996,0.19999999999999996,0.0
2025-10-02,2021-01-01,10,0,0,0.31017981035927006,0,0.0,0.2,0.2,0.0
2025-10-31,2021-01-01,13,0,0,0.38286974145976027,0,0.0,0.2,0.2,0.0
2025-12-02,2021-01-01,7,0,1,0.19662586838484805,0,0.03299549758664115,0.20000000000000004,0.20000000000000004,0.0
2026-01-02,2021-01-01,9,0,0,0.22796537838909012,0,0.0,0.2,0.2,0.0
2026-02-02,2021-01-01,7,0,0,0.1564151180494721,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2026-03-02,2021-01-01,7,0,0,0.19509977645317783,0,0.0,0.19999999999999998,0.19999999999999998,0.0
2026-04-02,2021-01-01,12,0,0,0.40819289449777035,0,0.0,0.20000000000000004,0.20000000000000004,0.0
2026-05-01,2021-01-01,8,0,3,0.23146175949886533,0,0.11990409246517161,0.19999999999999998,0.25221867924646285,0.05221867924646287
2026-06-02,2021-01-01,10,0,1,0.23771636785954972,0,0.017220818960046295,0.2,0.2,0.0
2026-07-02,2021-01-01,5,0,5,0.13650835535596298,0,0.19950832241635033,0.2,0.32610072667225737,0.12610072667225736
2026-07-31,2021-01-01,6,0,1,0.1452359531384367,0,0.04203797227892196,0.19999999999999998,0.19999999999999996,0.0
2026-09-02,2021-01-01,9,0,0,0.19632195353559248,0,0.0,0.2,0.2,0.0
