Date,StartWindow,Ticker,AllocationBucket,PlainEnglishExplanation,Score,RankInScoreTable,EligibleAfterFiltersAndCorrelation,AboveSMA50,AboveSMA126,PositiveMom63,PositiveMom126,Mom21,Mom63,Mom126,RS63VsSPY,RS126VsSPY,Vol63Ann,OptimizerUsed,OptimizerFallbackReason,OptimizerRawWeight,OptimizerWeightAfterCap,ScoreRankPct,CenteredScoreRank,ScoreTiltMultiplier,ScoreTiltPreCapWeight,RiskWeightAfterScoreTilt,CashWeight,SignalBreadth,BreadthCashWeight,VolCashWeight,ActiveSleeveVol,RiskWeightBeforeCashScaling,CashScaledTargetWeight,PreviousFinalWeight,WeightBeforeTurnoverCap,WeightAfterTurnoverCapBeforePrune,WeightAfterPruningFinal,FinalWeight,FinalWeightPct,WeightChangeFromPrevious,TurnoverContributionOneWay,TurnoverBeforePrune,TurnoverAfterPrune,PrunedOrReducedByCleanup,TradeableDisplayCandidate,InFinalPortfolio
2026-07-01,2023-01-01,VOT,Not selected,VOT was not selected for final allocation in this rebalance.,12.966380171775588,53.0,False,True,True,True,True,-0.0005538734511066901,0.16799596267751937,0.08079693877783511,0.026915937955506397,-0.010487367793789115,0.19669819442237396,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,EWP,Removed,EWP was previously held but was removed or reduced to zero by the latest rebalance.,12.960147587766661,54.0,False,True,True,True,True,0.042329468641378654,0.09051873710141001,0.10724629335125657,-0.05056128762060297,0.015961986779632342,0.20494827235665272,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.03344322597818017,0.0,0.025316113303833217,0.0,0.0,0.0,-0.03344322597818017,0.016721612989090084,0.2,0.20332772509813635,True,False,False
2026-07-01,2023-01-01,VT,Not selected,VT was not selected for final allocation in this rebalance.,12.884200438635798,55.0,False,True,True,True,True,-0.016730651616268633,0.1216549944084313,0.10615581264582197,-0.01942503031358167,0.014871506074197738,0.16241908704719085,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,XYLD,Not selected,XYLD was not selected for final allocation in this rebalance.,12.850154155052916,56.0,False,True,True,True,True,0.00936121431830994,0.06715281745117796,0.05809281837493785,-0.07392720727083502,-0.03319148819668638,0.061363496317034194,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,XLV,Not selected,XLV was not selected for final allocation in this rebalance.,12.787228619937236,57.0,False,True,True,True,True,0.09456016126725797,0.08470595143416637,0.03354550664880285,-0.056374073287846604,-0.05773879992282138,0.16835768789136243,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,ESGE,Not selected,ESGE was not selected for final allocation in this rebalance.,12.720020444853418,58.0,False,True,True,True,True,-0.05670612963003596,0.16840742177719692,0.20660790588709066,0.027327397055183944,0.11532359931546643,0.3278826323960298,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,GSLC,Not selected,GSLC was not selected for final allocation in this rebalance.,12.688811307867912,59.0,False,True,True,True,True,-0.01379394774709275,0.12768484202701447,0.0687100144034658,-0.013395182694998509,-0.022574292168158427,0.12815021963079343,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,VSGX,Not selected,VSGX was not selected for final allocation in this rebalance.,12.658435800322305,60.0,False,True,True,True,True,-0.017716413193539893,0.12467477615087574,0.1433945459874737,-0.016405248571137232,0.05211023941584947,0.23625615572364062,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,PKW,Not selected,PKW was not selected for final allocation in this rebalance.,12.56371520776569,61.0,False,True,True,True,True,0.03369803223582202,0.07917219815933696,0.05517718835088781,-0.061907826562676016,-0.03610711822073642,0.12341974300719366,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
2026-07-01,2023-01-01,JEPQ,Not selected,JEPQ was not selected for final allocation in this rebalance.,12.496373500012304,62.0,False,True,True,True,True,-0.0004850929093213052,0.10668491287410231,0.07858098975998407,-0.034395111847910664,-0.012703316811640164,0.1488172034127139,,,0.0,0.0,,,,0.0,0.0,0.0,0.8146067415730337,0.0,0.0,0.14726235897610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.20332772509813635,False,False,False
